差,左𠂇工羊
座,广丶厂坐土从
財,貝目八才
殺,殳几又木
蚕,虫天一大
残,歹一夕㦮
師,𠂤丿㠯巾
紙,糸幺小氏
脂,肉内人冂旨日匕
時,日寺土寸
射,身寸
借,亻昔龷日
弱,弓冫
酒,氵酉
修,亻㣊夂彡
従,彳䒑龰
純,糸幺小屯
書,曰囗一聿肀二
除,⻖余亼朩人一
将,丬寽爫寸
消,氵肖肉小内人冂
笑,⺮禾
辱,辰寸
真,十具目ハ
針,釒十
席,巾广丶厂廿
隻,隹又
素,糸幺小龶
倉,亻口尸
捜,扌田又
造,⻌告⺧口
息,心自
速,⻌束木口
孫,子系糸幺小
帯,丗凵十冖巾
値,亻直目一｜十
恥,心耳
畜,玄亠幺田
通,辶甬龴用
庭,广丶厂廷廴𡈼
哲,折扌斤口
展,尸龷
徒,彳走土龰
途,辶余亼朩人一
倒,亻到至刂一厶土
凍,冫東束一木口
島,山
討,訁亖口寸
党,龸兄儿口
特,牛寺土寸
悩,忄⺍凶凵㐅
納,糸幺小內入冂
能,䏍厶月匕
破,石皮
馬,三丨灬
俳,亻非
配,酉己
倍,亻咅立口
梅,木毎𠂉毋
班,王刂
般,舟殳几又
疲,疒冫广丶厂皮
秘,禾必心丿
俵,亻表龶𧘇
病,疒冫广丶厂丙一内冂人
浮,氵孚爫子
粉,米分八刀
陛,⻖坒比土
勉,免⺈儿力
捕,扌甫
埋,土里田
脈,月𠂢
眠,目民氏
娘,女良丶艮
容,宀谷
浴,氵谷
流,氵㐬𠫓
留,𠂎刀田
旅,方丶万乞𠂉乙ノ
料,米斗
涙,氵戻戸大一尸
恋,亦心
連,辶車
朗,良丶艮月
悪,心亜
異,田井二
移,禾多夕
域,土或戈口一弋丿
液,氵夜亠亻夂丶
菓,艹果田木
貨,化亻匕貝目八
械,木戒廾戈弋丿
掛,扌圭土卜
乾,車乞𠂉乙
患,心串丨吕
眼,目艮
基,土其共二龷八
寄,宀奇大可丁口
規,夫二人見目儿
救,求水攵
球,王求水
許,訁亖口午𠂉十
魚,⺈田灬
強,弘弓厶虫
教,孝耂子攵
郷,幺艮⻏
偶,亻禺
掘,扌屈尸出凵丨
経,糸幺小圣又土
健,亻建廴聿肀二
険,⻖㑒
現,王見目儿
康,广丶厂隶肀水
控,扌空穴工宀八
黄,龷由十囗八
黒,里田土灬
頃,匕頁一自八
婚,女昏氏日
混,氵昆日比
採,扌采爫木
済,氵斉
祭,示二小月又
細,田糸幺小
菜,采爫木艹
産,生𠂉土产
視,礻見目儿
鹿,广丶厂コ丨比
捨,扌舎人𠮷土口
授,扌受爪冖又
終,糸幺小冬夂⺀
習,羽习𠃌丿白日
週,⻌周口冂𠮷土
宿,宀佰亻百一白丿日
術,行彳亍一丁朮木丶
唱,口昌日曰囗一
商,冏冂儿口立
渉,氵歩止少ノ小
章,立早日十
紹,糸幺小召刀口
常,尚小冋冂口巾
情,忄青月生𠂉土
深,氵罙㓁木
進,⻌隹
推,扌隹
清,氵青月生𠂉土
盛,成戊𠃌丿戈弋皿
責,龶貝目八
接,扌妾立女
設,訁亖口殳几又
雪,雨ヨ
船,舟㕣八口
組,糸幺小且
巣,⺍果田木
掃,扌帚彐冖巾
窓,穴宀八厶心
側,亻則貝刂目八
族,方丶万矢𠂉大
率,玄亠幺丷八十
袋,代亻弋衣亠𧘇
第,⺮弓
脱,肉内人冂兑丷兄儿口
探,扌罙㓁木
断,斤米
著,艹者老日耂匕
帳,巾長
張,弓長
頂,丁頁一自八
停,亻亭亠口冖丁
笛,竹由十囗
転,車云二厶
都,者老日耂匕⻏
盗,次冫欠皿
動,重里千田土力
堂,尚小冋冂口土
得,彳㝵旦寸日一
豚,月豕
軟,車欠
脳,肉内人冂⺍凶凵㐅
敗,貝目八攵
販,貝目八反厂又
票,覀示二小
描,扌苗艹田
猫,犭苗艹田
貧,分八刀貝目
瓶,并丷开一廾瓦
婦,女帚彐冖巾
符,⺮付亻寸
部,咅立口⻏
副,畐田刂
閉,門才
偏,亻扁戶冊
訪,言方丶万
望,亡亠𠃊月王
密,宓宀必心丿山
務,矛务夂力
問,門口
野,里田土予龴亅
訳,言尺尸
郵,垂土⻏
欲,谷欠
翌,羽习𠃌丿立
理,王里田土
陸,⻖坴圥土
略,田各夂口
粒,米立
涼,氵京亠口小
偉,亻韋
飲,飠欠
運,⻌軍冖車
雲,雨云二厶
営,呂口⺍冖
越,走土龰戉
奥,米大
温,氵昷日皿
過,⻌咼冎口
賀,加力口貝目八
絵,糸幺小会人云二厶
開,門开一廾
階,皆比白丿日
街,行彳亍一丁圭土
覚,見目儿
割,害宀口丰刂
換,扌奐⺈冂儿大
敢,丅耳攵
間,門日
喜,口壴士豆一䒑
幾,幺戈弋丿人
揮,扌軍冖車
期,其共二龷八月
貴,貝目八中一
喫,口契㓞大丰刀
給,糸幺小合亼口人一
御,彳卸𦈢卩
極,木亟丂叹一
勤,堇力
筋,⺮肋⺼力
隅,⻖禺
敬,苟艹句勹口攵
景,日京亠口小
軽,車圣又土
結,糸幺小吉士口
堅,臤臣又土
検,木㑒
減,氵咸戌口戊一丿戈弋
湖,氵胡古月十口
雇,戸一尸隹
港,氵巷共巳龷八
硬,石更曰囗一
最,曰囗一取又耳
裁,衣亠𧘇𢦏十戈弋丿
策,⺮朿
散,攵月
詞,訁亖口司
歯,止米凵
湿,氵显日业
就,尢尤丶京亠口小
衆,血丿皿乑
集,木隹
順,巛𡿨頁一自八
暑,日者老耂匕
勝,月劵𠔉力八夫二人
焼,火八人尭卉兀十廾一儿
焦,火八人隹
証,訁亖口正一止
象,⺈豕
場,土昜旦勿日一勹丿
畳,田冝冖且
植,木直目一｜十
森,木林
晴,日青月生𠂉土
税,禾兑丷兄儿口
絶,糸幺小色巴勹巳丨
善,口𦍌丷王䒑
然,火八人肰⺼犬大丶
創,倉亻口尸刂
装,衣亠𧘇壮丬士
測,氵則貝刂目八
属,禹尸
尊,寸酋丷酉
替,㚘夫二人曰囗一
貸,代亻弋貝目八
隊,⻖㒸丷豕
達,⻌羍
短,矢𠂉大豆一口䒑
弾,弓単⺍日十
遅,⻌尸羊
着,羊目
貯,貝目八宁宀丁
朝,龺十日月
超,走土龰召刀口
痛,疒冫广丶厂甬龴用
提,扌是日疋乛龰
程,禾呈口王
渡,氵度广廿又丶厂
塔,土荅艹合亼口人一
湯,氵昜旦勿日一勹丿
登,癶豆一口䒑
答,⺮合亼口人一
等,⺮寺土寸
筒,⺮同冂一口
統,糸幺小充𠫓儿
童,立里田土
道,辶首䒑自
鈍,金屯
買,罒貝目八
博,十尃甫寸
飯,飠反厂又
晩,日免⺈儿
番,釆禾丷丿米田
悲,非心
費,弗丿丨弓貝目八
備,亻卄厂用
筆,⺮聿肀二
評,言平干丷
富,宀畐田
普,並䒑业日
幅,巾畐田
復,彳复𠂉日夂
補,衤甫
募,莫艹旲力
報,幸土丷干𠬝卩又
帽,巾冒日目
棒,木奉𡗗一十大
貿,𠂎刀貝目八
満,氵卄両一冂山
無,𠂉卌一灬
遊,辶斿方𠂉子丶万
葉,艹枼世木廿𠃊
陽,⻖昜旦勿日一勹丿
絡,糸幺小各夂口
落,艹洛氵各夂口
量,旦日一里田土
湾,氵弯亦弓
腕,月宛宀夗
愛,心爪冖夂
暗,音立日
意,音立日心
違,⻌韋
園,口袁𠮷𧘇土
煙,火八人垔覀土
遠,⻌袁𠮷𧘇土口
塩,土皿
暇,日叚丨二又
靴,革化亻匕
解,角⺈用刀牛
較,車交亠父
楽,木白丿日
勧,隹力
幹,車干
感,咸戌口戊一丿戈弋心
漢,氵𦰩艹口夫二人
義,羊我手戈弋丿
詰,訁亖口吉士
業,丵巾木
禁,示二小林木
群,君尹口⺕丿羊
傾,化亻匕頁一自八
嫌,女兼
絹,糸幺小肙口月
源,氵原厂白小丿日
誇,訁亖口夸大亏
鉱,釒広厶广丶厂
歳,止戈弋丿小
罪,罒非
試,訁亖口式工弋
詩,訁亖口寺土寸
資,貝目八次冫欠
飼,飠司口
辞,舌千口辛立十
準,氵淮隹十
署,罒者老日耂匕
傷,亻昜旦勿日一勹丿
奨,大将丬寽爫寸
照,火八人昭日召刀口
詳,訁亖口羊
蒸,艹烝丞灬
触,角⺈用虫
寝,丬冖又⺕宀
新,亲立木斤
数,娄米女攵
勢,力埶坴丸圥土丶九
聖,王耳口
誠,訁亖口成戊𠃌丿戈弋
跡,⻊赤
節,⺮即艮卩
戦,単⺍日十戈弋丿
想,心相木目
続,糸幺小売士冖儿
損,扌員貝口目八
暖,日爰爫一友𠂇又
置,网冂㐅直目一｜十
腸,肉内人冂昜旦勿日一勹丿
賃,任亻壬貝目八
鉄,金失大丿夫二人
殿,尸共龷八殳几又
電,⻗电日乚
塗,涂氵余亼朩人一土
働,亻動重力里千田土
農,曲曰囗一辰
福,礻畐田
腹,月复𠂉日夂
墓,莫艹旲土
豊,曲曰囗一豆口䒑
飽,飠包勹己
幕,莫艹旲巾
夢,艹罒冖夕
盟,明日月皿
預,予龴亅頁一自八
溶,氵容宀谷
腰,肉内人冂要覀女
裏,亠里田土𧘇
零,⻗令亼卩人一
路,⻊各夂口
話,言舌千口
駅,馬三丨灬尺尸
演,氵寅宀一由八十囗
歌,可丁口欠
概,木既牙艮
閣,門各夂口
慣,忄貫毋貝目八
管,⺮官宀㠯
関,門关丷天一大
旗,方丶万其共二龷八
疑,匕矢𠂉大疋乛龰マ
漁,氵魚⺈田灬
境,土竟音儿立日
銀,釒艮
語,訁亖口吾五二
誤,訁亖口呉𠃑一八
構,木冓井再二一冉冂土
穀,士冖禾殳几又
際,⻖祭示月又二小
察,宀祭示月又二小
雑,杂九朩隹
算,⺮廾目
酸,酉夋允夂
誌,訁亖口志心士
磁,石兹䒑幺
種,禾重里千田土
緒,糸幺小者老日耂匕
障,⻖章立早日十
精,米青月生𠂉土
製,制刂牛巾衣亠𧘇
静,青月生𠂉土争⺈⺕亅
説,訁亖口兑丷兄儿
銭,釒㦮
層,尸曽丷田日
総,糸幺小忩公心八厶
像,亻象⺈豕
増,土曽丷田日
憎,火八人曽丷田日
態,心能䏍匕厶月
端,立耑山而一丿冂丨
滴,⺡啇亠丷冂古十口
適,辶啇亠丷冂古十口
